Location ID,Location,Address,Geo Local Area,Latitude,Longitude,Spaces,Description,Notes
1,East Side,5400 Vine St,Arbutus Ridge,49.236842,-123.159807,1,Designated parking zone,No stopping accessible zone
2,North Side,2100 Eddington Drive,Arbutus Ridge,49.247023,-123.155742,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
3,South Side,2400 W 41st Ave,Arbutus Ridge,49.234602,-123.161686,1,Designated meter parking space,No stopping accessible zone
4,West Side,5300 Yew St,Arbutus Ridge,49.237811,-123.158484,1,Designated parking zone,No stopping accessible zone
5,West Side,5400 Balsam St,Arbutus Ridge,49.23678,-123.161317,1,Designated parking zone,No stopping accessible zone
6,West Side,5600 Yew St,Arbutus Ridge,49.234769,-123.157828,1,Designated meter parking space,No stopping accessible zone
7,East Side,1100 Burrard St,Downtown,49.279453,-123.128447,1,Designated meter parking space,No stopping accessible zone
8,East Side,1100 Homer St,Downtown,49.2753257,-123.123063,1,Designated meter parking space,No stopping accessible zone
9,East Side,500 Richards St,Downtown,49.282943,-123.11344,1,Designated meter parking space,No stopping accessible zone
10,East Side,700 Hornby St,Downtown,49.282925,-123.121273,1,Designated meter parking space,No stopping accessible zone
11,East Side,700 Richard St,Downtown,49.28106,-123.116388,1,Designated meter parking space,No stopping accessible zone
12,North Side,0 Expo Blvd,Downtown,49.277668,-123.103759,1,Designated meter parking space,No stopping accessible zone
13,North Side,100 Drake St,Downtown,49.272358,-123.121931,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
14,North Side,1400 W Hastings St,Downtown,49.290416,-123.128025,1,Designated meter parking space,No stopping accessible zone
15,North Side,500 Drake St,Downtown,49.275038,-123.126062,2,Designated meter parking space,No stopping accessible zone
16,South Side,100 Alexander St,Downtown,49.283801,-123.101803,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
17,South Side,100 E Pender St,Downtown,49.28032,-123.101352,1,Designated meter parking space,No stopping accessible zone
18,South Side,100 W Cordova St,Downtown,49.2831648,-123.108411,1,Designated meter parking space,No stopping accessible zone
19,South Side,1100 Hornby St,Downtown,49.278592,-123.127877,1,Designated meter parking space,No stopping accessible zone
20,West Side,1000 Cambie St,Downtown,49.274782,-123.119352,1,Designated meter parking space,No stopping accessible zone
21,West Side,1100 Homer St,Downtown,49.276219,-123.121942,1,Designated meter parking space,No stopping accessible zone
22,West Side,1200 Seymour St,Downtown,49.275622,-123.126665,1,Designated meter parking space,No stopping accessible zone
23,West Side,1300 Hornby St,Downtown,49.277286,-123.130018,1,Designated meter parking space,No stopping accessible zone
24,West Side,1500 Granville St,Downtown,49.273831,-123.131423,2,Designated 3HR parking zone- Under Granville St. Bridge,No stopping accessible zone 3-hour parking
25,West Side,700 Hornby St,Downtown,49.282822,-123.121647,1,Designated meter parking space,No stopping accessible zone
26,West Side,700 Howe St,Downtown,49.282792,-123.119766,1,Designated meter parking space,No stopping accessible zone
27,East Side,4100 Dunbar St,Dunbar-Southlands,49.249201,-123.185101,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
28,East Side,4200 Dunbar St,Dunbar-Southlands,49.248607,-123.185092,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
29,South Side,3500 W 27th Ave,Dunbar-Southlands,49.248042,-123.184918,1,Designated 3HR Parking Zone,No stopping accessible zone 3-hour parking
30,South Side,3500 W 41st Ave,Dunbar-Southlands,49.234625,-123.18236,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
31,South Side,3600 W 29th Ave,Dunbar-Southlands,49.246111,-123.185517,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
32,East Side,2400 Willow St,Fairview,49.26356,-123.121745,1,Designated meter parking space,No stopping accessible zone
33,East Side,2600 Laurel St,Fairview,49.262211,-123.125323,2,Designated meter parking space,No stopping accessible zone
34,East Side,400 Moberly Road,Fairview,49.2687208,-123.118021,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
35,North Side,1400 W 15th Ave,Fairview,49.258014,-123.138394,1,Designated 2HR parking zone,No stopping disabled zone 2-hour parking
36,North Side,600 W 10th Ave,Fairview,49.262334,-123.118307,1,Designated meter parking space,No stopping accessible zone
37,North Side,700 W 10th Ave,Fairview,49.262383,-123.121105,3,Designated meter parking space,No stopping accessible zone
38,North Side,700 W Broadway,Fairview,49.263392,-123.120931,1,Designated meter parking space,No stopping accessible zone
39,North Side,800 W 10th Ave,Fairview,49.262425,-123.122888,2,Designated meter parking space,No stopping accessible zone
40,South Side,1500 W 10th Ave,Fairview,49.262601,-123.139167,1,Designated meter parking space,No stopping accessible zone
41,South Side,1500 W 7th Ave,Fairview,49.265324,-123.138925,1,Designated meter parking space,No stopping accessible zone
42,South Side,1600 W 1st Ave,Fairview,49.270577,-123.142926,1,Designated meter parking space,No stopping accessible zone
43,South Side,1600 W 6th Ave,Fairview,49.26622,-123.143048,1,Designated meter parking space,No stopping accessible zone
44,South Side,1700 W 3rd Ave,Fairview,49.268868,-123.145152,1,Designated meter parking space,No stopping accessible zone
45,South Side,900 W 8th Ave,Fairview,49.264242,-123.124643,1,Designated meter parking space,No stopping accessible zone
46,East Side,1900 Commercial Drive,Grandview-Woodland,49.267647,-123.069548,1,Designated meter parking space,No stopping accessible zone
47,East Side,300 Garden Drive,Grandview-Woodland,49.281354,-123.057757,1,Designated meter parking space,No stopping accessible zone
48,North Side,1600 Kitchener St,Grandview-Woodland,49.27218,-123.069865,1,Designated meter parking space,No stopping accessible zone
49,North Side,1700 William St,Grandview-Woodland,49.27398,-123.069242,1,Designated meter parking space,No stopping accessible zone
50,South Side,1700 Grant St,Grandview-Woodland,49.271247,-123.069193,1,Designated meter parking space,No stopping accessible zone
51,South Side,1700 Parker St,Grandview-Woodland,49.27573,-123.069265,1,Designated meter parking space,No stopping accessible zone
52,West Side,2200 Commercial Drive,Grandview-Woodland,49.264713,-123.069818,1,Designated meter parking space,No stopping accessible zone
53,East Side,300 Kamloops St,Hastings-Sunrise,49.28137,-123.054537,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
54,East Side,300 Kootenay St,Hastings-Sunrise,49.281683,-123.025634,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
55,East Side,400 Kaslo St,Hastings-Sunrise,49.280779,-123.046625,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
56,North Side,3100 New Brighton Road,Hastings-Sunrise,49.289483,-123.039382,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
57,West Side,400 Lillooet St,Hastings-Sunrise,49.280856,-123.038911,1,Designated parking zone,No stopping accessible zone
58,West Side,400 Slocan St,Hastings-Sunrise,49.280955,-123.049416,1,Designated parking zone,No stopping accessible zone
59,East Side,5600 Victoria Drive,Kensington-Cedar Cottage,49.233088,-123.065429,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
60,North Side,1100 Kingsway,Kensington-Cedar Cottage,49.25272,-123.081036,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
61,West Side,2900 Commercial Dr,Kensington-Cedar Cottage,49.258122,-123.069968,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
62,East Side,5800 Balsam St,Kerrisdale,49.233618,-123.161351,1,Designated parking zone,No stopping accessible zone
63,East Side,1900 Yew St,Kitsilano,49.268372,-123.155072,1,Designated meter parking space,No stopping accessible zone
64,North Side,2500 W Broadway,Kitsilano,49.26406,-123.162689,1,Designated meter parking space,No stopping accessible zone
65,North Side,3200 W Broadway,Kitsilano,49.264278,-123.176211,1,Designated meter parking space,No stopping accessible zone
66,South Side,1800 W 1st Ave,Kitsilano,49.270643,-123.147652,1,Designated meter parking space,No stopping accessible zone
67,South Side,1800 W 4th Ave,Kitsilano,49.267974,-123.14754,1,Designated meter parking space,No stopping accessible zone
68,South Side,1800 W Broadway,Kitsilano,49.263619,-123.146095,1,Designated parking zone,No stopping accessible zone
69,South Side,1900 W 4th Ave,Kitsilano,49.268024,-123.150095,1,Designated meter parking space,No stopping accessible zone
70,South Side,2200 W Broadway,Kitsilano,49.263808,-123.157142,1,Designated meter parking space,No stopping accessible zone
71,South Side,2600 W Broadway,Kitsilano,49.26394,-123.164868,1,Designated meter parking space,No stopping accessible zone
72,South Side,3000 W Broadway,Kitsilano,49.264087,-123.173047,1,Designated meter parking space,No stopping accessible zone
73,South Side,3500 W 4th Ave,Kitsilano,49.268521,-123.18339,1,Designated 3HR Parking Zone,No stopping accessible zone 3-hour parking
74,South Side,1400 W 73rd Ave,Marpole,49.2051,-123.138078,1,Designated parking zone,No stopping accessible zone
75,South Side,1500 W 66th Ave,Marpole,49.211328,-123.140916,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
76,North Side,0 Athletes Way,Mount Pleasant,49.271571,-123.10559,2,Designated meter parking space,No stopping accessible zone
77,North Side,400 W 5th Ave,Mount Pleasant,49.266701,-123.113817,2,Designated meter parking space,No stopping accessible zone
78,South Side,0 E 8th Ave,Mount Pleasant,49.26372,-123.104607,1,Designated meter parking space,No stopping accessible zone
79,South Side,100 E 13th Ave,Mount Pleasant,49.259286,-123.101613,1,Designated meter parking space,No stopping accessible zone
80,South Side,100 E 14th Ave,Mount Pleasant,49.25836,-123.101601,1,Designated meter parking space,No stopping accessible zone
81,South Side,200 E 10th Ave,Mount Pleasant,49.2619217,-123.099715,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
82,West Side,2300 Alberta St,Mount Pleasant,49.264645,-123.11098,1,Designated meter parking space,No stopping accessible zone
83,West Side,2500 Main St,Mount Pleasant,49.262189,-123.101146,1,Designated meter parking space,No stopping accessible zone
84,East Side,5800 Cambie St,Oakridge,49.231757,-123.116032,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
85,East Side,5400 Cecil St,Renfrew-Collingwood,49.234804,-123.036664,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
86,North Side,2500 Kingsway,Renfrew-Collingwood,49.239503,-123.052684,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
87,North Side,3300 Kingsway,Renfrew-Collingwood,49.232604,-123.032633,1,Designated meter parking space,No stopping accessible zone
88,North Side,3400 Crowley Drive,Renfrew-Collingwood,49.237411,-123.032349,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
89,North Side,3600 Kingsway,Renfrew-Collingwood,49.232311,-123.025618,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
90,East Side,3400 Cambie St,Riley Park,49.254719,-123.115047,1,Designated meter parking space,No stopping accessible zone
91,East Side,4200 Main St,Riley Park,49.247102,-123.101067,1,Designated meter parking space,No stopping accessible zone
92,East Side,4700 Main St,Riley Park,49.242414,-123.101281,1,Designated 1HR parking zone,No stopping accessible zone 1-hour parking
93,East Side,5500 Cambie St,Riley Park,49.234632,-123.115941,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
94,West Side,3300 Fraser St,Riley Park,49.255393,-123.090004,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
95,West Side,3900 Main St,Riley Park,49.250122,-123.10113,1,Designated meter parking space,No stopping accessible zone
96,North Side,200 E Cordova St,Strathcona,49.28233,-123.099266,1,Designated meter parking space,No stopping accessible zone
97,North Side,200 E Georgia St,Strathcona,49.278593,-123.097886,1,Designated meter parking space,No stopping accessible zone
98,North Side,400 National Ave,Strathcona,49.273874,-123.094023,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
99,South Side,200 E Pender St,Strathcona,49.280364,-123.099077,1,Designated meter parking space,No stopping accessible zone
100,South Side,500 Terminal Ave,Strathcona,49.27149,-123.093077,1,Designated meter parking space,No stopping accessible zone
101,West Side,1200 Raymur Ave,Strathcona,49.274061,-123.082866,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
102,East Side,6300 Fraser St,Sunset,49.226714,-123.090656,1,Designated meter parking space,No stopping accessible zone
103,West Side,6000 Fraser St,Sunset,49.229961,-123.09074,1,Designated meter parking space,No stopping accessible zone
104,West Side,6100 Fraser St,Sunset,49.228809,-123.090801,1,Designated meter parking space,No stopping accessible zone
105,West Side,6400 Fraser St,Sunset,49.226377,-123.090857,1,Designated meter parking space,No stopping accessible zone
106,East Side,5800 Victoria Drive,Victoria-Fraserview,49.230671,-123.065496,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
107,West Side,5700 St. Margarets St,Victoria-Fraserview,49.232586,-123.056619,2,Designated parking zone- 9am-3pm,No stopping accessible zone 9am-3pm
108,North Side,1000 Alberni St,West End,49.284201,-123.121927,1,Designated meter parking space,No stopping accessible zone
109,North Side,1100 DAveie St,West End,49.281015,-123.132059,1,Designated meter parking space,No stopping accessible zone
110,North Side,1800 Robson St,West End,49.291635,-123.135596,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
111,South Side,1600 DAveie St,West End,49.286125,-123.140115,1,Designated meter parking space,No stopping accessible zone
112,South Side,1700 Pendrell St,West End,49.287822,-123.140605,1,Designated meter parking space,No stopping accessible zone
113,South Side,1800 Barclay St,West End,49.290176,-123.1378,1,Designated 2HR parking zone,No stopping accessible zone 2-hour parking
114,West Side,1000 Bidwell St,West End,49.28796,-123.137738,1,Designated parking zone,No stopping accessible zone
115,West Side,1200 Bidwell St,West End,49.28546,-123.141506,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
116,West Side,1200 Broughton St,West End,49.283301,-123.136986,1,Designated 3HR parking zone,No stopping accessible zone 3-hour parking
117,West Side,700 Broughton St,West End,49.288055,-123.129796,1,Designated meter parking space,No stopping accessible zone
118,West Side,800 Cardero St,West End,49.289359,-123.132531,1,Designated meter parking space,No stopping accessible zone
119,East Side,2000 Trimble St,West Point Grey,49.268228,-123.205899,1,Designated parking zone- 8am-5pm Mon-Fri,No stopping accessible zone- 8am-5pm Mon-Fri
120,North Side,4500 W 10th Ave,West Point Grey,49.26393,-123.211583,1,Designated meter parking space,No stopping accessible zone
121,South Side,4300 W 6th Ave,West Point Grey,49.267183,-123.205585,1,Designated parking zone- 8am-5pm Mon-Fri,No stopping accessible zone- 8am-5pm Mon-Fri
122,West Side,2500 Discovery St,West Point Grey,49.263926,-123.203083,1,Designated parking zone,No stopping accessible zone
